scorer,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000,DeepCut_resnet50_PossumLadderRungJul25shuffle1_500000
bodyparts,Snout,Snout,Snout,LFL,LFL,LFL,RFL,RFL,RFL,LHL,LHL,LHL,RHL,RHL,RHL,Tailtip,Tailtip,Tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,2.919310927,72.30459094,8.76E-07,732.3126793,205.4486693,1.02E-06,723.9522648,213.6769271,6.14E-07,1.095406532,73.22281551,1.68E-06,2.002629876,75.59471732,3.57E-06,728.9427946,206.1388276,0.001879852
1,2.936819315,72.26689553,9.35E-07,732.2667162,205.4577307,1.02E-06,723.9294565,213.6842613,6.00E-07,1.107718706,73.21539474,1.79E-06,1.990225315,75.57514957,3.74E-06,728.8867974,206.132072,0.001819973
2,2.936819315,72.26689553,9.35E-07,732.2667162,205.4577307,1.02E-06,723.9294565,213.6842613,6.00E-07,1.107718706,73.21539474,1.79E-06,1.990225315,75.57514957,3.74E-06,728.8867974,206.132072,0.001819973
3,2.842738628,72.85493875,3.10E-06,731.4977726,205.3968196,2.03E-06,723.7096732,213.5775642,1.77E-06,1.111289978,73.25225639,4.42E-06,2.166377068,75.72930518,9.65E-06,728.3486688,206.1458645,0.001488819
4,2.799557924,72.8536799,2.82E-06,731.4543645,205.4029101,1.97E-06,723.7298829,213.5868664,1.75E-06,1.12056613,73.24169803,4.18E-06,2.201086402,75.69309467,9.62E-06,728.3764622,206.1092443,0.001396316
5,2.876747131,72.30643678,1.48E-06,732.3279122,205.0595955,1.69E-06,724.0879243,213.4399271,1.97E-06,1.197863102,73.21438599,3.03E-06,2.035718799,75.6786747,5.50E-06,729.8410501,206.2516036,0.004188618
6,2.876747131,72.30643678,1.48E-06,732.3279122,205.0595955,1.69E-06,724.0879243,213.4399271,1.97E-06,1.197863102,73.21438599,3.03E-06,2.035718799,75.6786747,5.50E-06,729.8410501,206.2516036,0.004188618
7,2.48908937,72.40510726,1.39E-06,0.830728292,218.4214487,7.84E-07,723.8499813,213.513114,1.27E-06,0.961803436,72.96857357,2.26E-06,1.88045001,75.63507017,3.60E-06,731.8439984,207.1402285,0.000750002
8,2.48908937,72.40510726,1.39E-06,0.830728292,218.4214487,7.84E-07,723.8499813,213.513114,1.27E-06,0.961803436,72.96857357,2.26E-06,1.88045001,75.63507017,3.60E-06,731.8439984,207.1402285,0.000750002
9,4.164396778,208.6244984,0.999999523,1.251108408,212.0635424,0.00993738,-0.202999115,211.0040928,0.003892575,2.895048261,207.1111827,0.000698294,2.21594727,214.6617041,0.00077755,2.633828402,211.1321507,0.002643656
10,4.113876656,208.4594615,0.999999523,1.291898489,211.9383049,0.008766582,-0.235620975,210.9172709,0.003839883,2.952157378,207.146071,0.000715279,2.222458839,214.5440016,0.000773997,2.646440983,211.0062695,0.00265587
11,6.318680286,206.1005943,1,1.011084795,211.580164,0.007613958,-0.891060829,211.5061682,0.006426635,1.250344515,217.6419268,0.001072604,0.891116619,214.5812011,0.001420814,2.70807147,211.015276,0.002529957
12,6.45142889,206.1226943,1,0.916796207,211.6443355,0.007425272,-0.879357815,211.559368,0.006561877,1.171768188,217.7313807,0.001162062,0.952635527,214.648531,0.00146369,2.67232275,211.1930399,0.002533589
13,9.239990711,204.1090288,1,0.795241117,211.1342168,0.008054364,-0.409812927,211.3468857,0.00658506,1.065977097,215.7443748,0.001177193,1.098598957,214.1382823,0.001141769,3.472838163,210.3238811,0.002111493
14,9.239990711,204.1090288,1,0.795241117,211.1342168,0.008054364,-0.409812927,211.3468857,0.00658506,1.065977097,215.7443748,0.001177193,1.098598957,214.1382823,0.001141769,3.472838163,210.3238811,0.002111493
15,12.81109631,203.7897482,1,1.339401007,210.7943686,0.004943982,0.34621501,210.9458101,0.006741798,1.789782524,213.549612,0.001448194,1.754195929,213.1825776,0.001307854,730.6597289,206.061439,0.004658855
16,12.77602392,203.8316464,1,1.277027845,210.8906883,0.005000633,0.206640244,210.9480716,0.006958061,1.657167435,213.6513252,0.001527452,1.68298316,213.3737793,0.001280289,4.655809164,209.8234596,0.002128619
17,17.19493484,203.4102702,1,1.917936087,210.439279,0.005505589,0.434889317,210.9816533,0.007437294,2.242081761,212.6155138,0.001362728,4.467449546,204.374656,0.001966001,5.698742867,210.3840752,0.001635334
18,17.19493484,203.4102702,1,1.917936087,210.439279,0.005505589,0.434889317,210.9816533,0.007437294,2.242081761,212.6155138,0.001362728,4.467449546,204.374656,0.001966001,5.698742867,210.3840752,0.001635334
19,19.86390196,204.1232481,1,2.177732468,210.8059587,0.002948634,0.294988155,211.0490724,0.007091363,2.401194453,211.9851236,0.00204714,4.54578054,205.0804878,0.001499546,6.15572691,210.9075861,0.001757921
20,19.87194015,204.2018862,1,2.125020266,210.8604578,0.003155101,0.246654034,211.1273226,0.00779778,2.32507813,211.9816504,0.002217134,4.527084053,205.152928,0.001517422,6.054593086,211.0242596,0.001947759
21,23.12982392,203.7938948,1,1.830278397,210.5488415,0.003779034,0.398406267,210.4664291,0.005950367,1.634525537,210.8186045,0.002432516,4.040641878,204.7601993,0.001944259,5.509979486,211.9272947,0.000926545
22,23.12982392,203.7938948,1,1.830278397,210.5488415,0.003779034,0.398406267,210.4664291,0.005950367,1.634525537,210.8186045,0.002432516,4.040641878,204.7601993,0.001944259,5.509979486,211.9272947,0.000926545
23,25.79217005,203.0584745,1,0.229602098,208.102746,0.001519819,0.197279215,205.5261514,0.003797726,0.62527132,203.8146843,0.004294971,3.91328156,204.2940764,0.003101113,725.1955253,207.8498244,0.002710448
24,25.99767828,203.035933,1,1.604439974,209.7943442,0.001239921,0.064574957,205.4872916,0.003243109,0.554930687,203.8231818,0.00393954,3.827817455,204.290649,0.002778964,6.041087627,203.2794459,0.000988938
25,29.3174125,201.9867945,1,2.356983185,209.4116011,0.00114169,0.013269186,205.1603569,0.001943809,1.137404442,202.9999113,0.004905231,1.559170246,198.5586042,0.001310339,729.794301,206.3986771,0.001498128
26,29.3174125,201.9867945,1,2.356983185,209.4116011,0.00114169,0.013269186,205.1603569,0.001943809,1.137404442,202.9999113,0.004905231,1.559170246,198.5586042,0.001310339,729.794301,206.3986771,0.001498128
27,33.32799673,202.2670488,1,17.35243845,207.8425422,0.999999762,2.465810299,205.4366201,0.000386084,5.557762265,205.245358,0.001144774,1.17725873,200.1344786,0.000247144,37.77238417,207.0139027,0.000223876
28,33.28725386,202.2745218,1,17.36572576,207.8634591,0.999999881,2.438836217,205.431276,0.000384515,5.55070591,205.2346494,0.001134243,1.174152374,200.1380258,0.000245396,731.0006617,205.9548568,0.000347404
29,36.96929646,202.0081325,1,20.5066967,208.0338929,1,0.57639432,211.9409862,0.000863622,6.181257486,207.0329237,0.001896001,51.4825691,199.5058253,0.000458802,6.60626173,215.2141919,9.10E-05
30,36.96929646,202.0081325,1,20.5066967,208.0338929,1,0.57639432,211.9409862,0.000863622,6.181257486,207.0329237,0.001896001,51.4825691,199.5058253,0.000458802,6.60626173,215.2141919,9.10E-05
31,40.36497211,201.3251076,1,16.63181305,212.6018274,1,3.766818553,216.0848842,0.001455761,3.652271807,210.455759,0.0089235,2.241273761,214.7037058,0.000298196,4.71297729,215.9985328,0.000144382
32,40.36110163,201.3264799,1,16.63046598,212.5987047,1,3.767051324,216.0829804,0.001455818,3.65163365,210.4539742,0.008905519,2.243062377,214.7012305,0.000298109,4.715112388,215.996892,0.00014443
33,44.69714928,200.6603246,1,15.49945593,214.2128286,1,20.27800179,211.0003386,0.0035994,3.196163058,211.8333845,0.040928125,2.68027842,215.2923875,0.000467607,730.4020396,206.2250478,0.003654026
34,44.69714928,200.6603246,1,15.49945593,214.2128286,1,20.27800179,211.0003386,0.0035994,3.196163058,211.8333845,0.040928125,2.68027842,215.2923875,0.000467607,730.4020396,206.2250478,0.003654026
35,49.44259262,201.2003222,1,15.87710977,214.2604544,1,18.26157558,211.3141503,0.074356742,4.20982559,212.5459414,0.029470528,2.511992574,215.74471,0.000608868,724.7092347,207.3234396,0.000500722
36,49.44159985,201.1999145,1,15.87581849,214.2643278,1,18.26464415,211.3129166,0.074689776,4.211049706,212.5482512,0.029599316,2.511938095,215.7471719,0.000608635,724.7076308,207.3234477,0.000501729
37,53.11253738,201.6111178,1,16.22424603,214.8820188,1,18.87650537,212.1249922,0.253974468,4.124074459,213.015276,0.015282677,2.515227795,216.3705308,0.000330313,730.5416209,205.915306,0.002398412
38,53.11253738,201.6111178,1,16.22424603,214.8820188,1,18.87650537,212.1249922,0.253974468,4.124074459,213.015276,0.015282677,2.515227795,216.3705308,0.000330313,730.5416209,205.915306,0.002398412
39,56.97269249,202.7998605,1,16.8382206,215.2045808,1,19.97353077,213.7412623,0.201117069,4.368008226,212.8666754,0.00540193,2.440200567,216.8901825,0.000231061,731.5177653,206.3295054,0.000185689
40,56.9827342,202.7954016,1,16.84212875,215.2522175,1,19.94812393,213.7789335,0.220688269,4.282102883,212.9072514,0.005622862,2.469093084,216.9045975,0.000226691,731.6012169,206.2693772,0.000171907
41,60.43234825,203.5031867,1,19.44033813,214.942632,1,21.44678545,212.4666133,0.008753044,3.765760094,212.201025,0.035011206,1.717503786,217.0078068,0.000921308,729.8448265,206.9860723,0.002044722
42,60.43234825,203.5031867,1,19.44033813,214.942632,1,21.44678545,212.4666133,0.008753044,3.765760094,212.201025,0.035011206,1.717503786,217.0078068,0.000921308,729.8448265,206.9860723,0.002044722
43,64.02763796,203.6683898,1,19.49270439,214.8319898,1,4.793023288,213.024147,0.032133359,3.732256085,212.386445,0.096514151,1.991847277,216.798645,0.001029748,70.54450035,204.1341906,0.000409782
44,64.0335207,203.6952882,1,19.57392454,214.828805,1,4.73860091,213.006086,0.03082023,3.733785301,212.3804007,0.092867531,1.958445311,216.794523,0.001032314,70.55296469,204.1281486,0.000394794
45,66.42287302,204.0473089,1,18.40962839,214.8929689,1,5.612633586,216.3795352,0.024799513,4.389898658,212.6292028,0.171803996,-0.070337772,212.8058209,0.000790404,72.23958588,207.2027216,0.000501223
46,66.42287302,204.0473089,1,18.40962839,214.8929689,1,5.612633586,216.3795352,0.024799513,4.389898658,212.6292028,0.171803996,-0.070337772,212.8058209,0.000790404,72.23958588,207.2027216,0.000501223
47,67.93867509,204.5510054,1,18.76852989,215.3785918,1,16.98385549,212.3090572,0.041509431,5.015810728,213.2918262,0.106358185,0.076518059,213.2697448,0.000847402,729.045583,206.6554296,0.003910913
48,67.93787167,204.565299,1,18.74830532,215.3868816,1,16.94419026,212.3628969,0.043107752,5.015311956,213.2904234,0.108851694,0.094829321,213.2707342,0.000828802,728.9842038,206.6545832,0.003490118
49,70.09250498,204.6554699,1,18.5561862,215.1373785,1,16.81515002,212.3188697,0.70009023,10.61244285,213.7356759,0.508830607,0.665769339,213.2004542,0.000812438,0.372234821,207.7834361,0.000545196
