coords,Snoutx,Snouty,LFLx,LFLy,RFLx,RFLy,LHLx,LHLy,RHLx,RHLy,Tailtipx,Tailtipy
0,2.919310927,72.30459094,732.3126793,205.4486693,723.9522648,213.6769271,1.095406532,73.22281551,2.002629876,75.59471732,728.9427946,206.1388276
1,2.936819315,72.26689553,732.2667162,205.4577307,723.9294565,213.6842613,1.107718706,73.21539474,1.990225315,75.57514957,728.8867974,206.132072
2,2.936819315,72.26689553,732.2667162,205.4577307,723.9294565,213.6842613,1.107718706,73.21539474,1.990225315,75.57514957,728.8867974,206.132072
3,2.842738628,72.85493875,731.4977726,205.3968196,723.7096732,213.5775642,1.111289978,73.25225639,2.166377068,75.72930518,728.3486688,206.1458645
4,2.799557924,72.8536799,731.4543645,205.4029101,723.7298829,213.5868664,1.12056613,73.24169803,2.201086402,75.69309467,728.3764622,206.1092443
5,2.876747131,72.30643678,732.3279122,205.0595955,724.0879243,213.4399271,1.197863102,73.21438599,2.035718799,75.6786747,729.8410501,206.2516036
6,2.876747131,72.30643678,732.3279122,205.0595955,724.0879243,213.4399271,1.197863102,73.21438599,2.035718799,75.6786747,729.8410501,206.2516036
7,2.48908937,72.40510726,0.830728292,218.4214487,723.8499813,213.513114,0.961803436,72.96857357,1.88045001,75.63507017,731.8439984,207.1402285
8,2.48908937,72.40510726,0.830728292,218.4214487,723.8499813,213.513114,0.961803436,72.96857357,1.88045001,75.63507017,731.8439984,207.1402285
9,4.164396778,208.6244984,1.251108408,212.0635424,-0.202999115,211.0040928,2.895048261,207.1111827,2.21594727,214.6617041,2.633828402,211.1321507
10,4.113876656,208.4594615,1.291898489,211.9383049,-0.235620975,210.9172709,2.952157378,207.146071,2.222458839,214.5440016,2.646440983,211.0062695
11,6.318680286,206.1005943,1.011084795,211.580164,-0.891060829,211.5061682,1.250344515,217.6419268,0.891116619,214.5812011,2.70807147,211.015276
12,6.45142889,206.1226943,0.916796207,211.6443355,-0.879357815,211.559368,1.171768188,217.7313807,0.952635527,214.648531,2.67232275,211.1930399
13,9.239990711,204.1090288,0.795241117,211.1342168,-0.409812927,211.3468857,1.065977097,215.7443748,1.098598957,214.1382823,3.472838163,210.3238811
14,9.239990711,204.1090288,0.795241117,211.1342168,-0.409812927,211.3468857,1.065977097,215.7443748,1.098598957,214.1382823,3.472838163,210.3238811
15,12.81109631,203.7897482,1.339401007,210.7943686,0.34621501,210.9458101,1.789782524,213.549612,1.754195929,213.1825776,730.6597289,206.061439
16,12.77602392,203.8316464,1.277027845,210.8906883,0.206640244,210.9480716,1.657167435,213.6513252,1.68298316,213.3737793,4.655809164,209.8234596
17,17.19493484,203.4102702,1.917936087,210.439279,0.434889317,210.9816533,2.242081761,212.6155138,4.467449546,204.374656,5.698742867,210.3840752
18,17.19493484,203.4102702,1.917936087,210.439279,0.434889317,210.9816533,2.242081761,212.6155138,4.467449546,204.374656,5.698742867,210.3840752
19,19.86390196,204.1232481,2.177732468,210.8059587,0.294988155,211.0490724,2.401194453,211.9851236,4.54578054,205.0804878,6.15572691,210.9075861
20,19.87194015,204.2018862,2.125020266,210.8604578,0.246654034,211.1273226,2.32507813,211.9816504,4.527084053,205.152928,6.054593086,211.0242596
21,23.12982392,203.7938948,1.830278397,210.5488415,0.398406267,210.4664291,1.634525537,210.8186045,4.040641878,204.7601993,5.509979486,211.9272947
22,23.12982392,203.7938948,1.830278397,210.5488415,0.398406267,210.4664291,1.634525537,210.8186045,4.040641878,204.7601993,5.509979486,211.9272947
23,25.79217005,203.0584745,0.229602098,208.102746,0.197279215,205.5261514,0.62527132,203.8146843,3.91328156,204.2940764,725.1955253,207.8498244
24,25.99767828,203.035933,1.604439974,209.7943442,0.064574957,205.4872916,0.554930687,203.8231818,3.827817455,204.290649,6.041087627,203.2794459
25,29.3174125,201.9867945,2.356983185,209.4116011,0.013269186,205.1603569,1.137404442,202.9999113,1.559170246,198.5586042,729.794301,206.3986771
26,29.3174125,201.9867945,2.356983185,209.4116011,0.013269186,205.1603569,1.137404442,202.9999113,1.559170246,198.5586042,729.794301,206.3986771
27,33.32799673,202.2670488,17.35243845,207.8425422,2.465810299,205.4366201,5.557762265,205.245358,1.17725873,200.1344786,37.77238417,207.0139027
28,33.28725386,202.2745218,17.36572576,207.8634591,2.438836217,205.431276,5.55070591,205.2346494,1.174152374,200.1380258,731.0006617,205.9548568
29,36.96929646,202.0081325,20.5066967,208.0338929,0.57639432,211.9409862,6.181257486,207.0329237,51.4825691,199.5058253,6.60626173,215.2141919
30,36.96929646,202.0081325,20.5066967,208.0338929,0.57639432,211.9409862,6.181257486,207.0329237,51.4825691,199.5058253,6.60626173,215.2141919
31,40.36497211,201.3251076,16.63181305,212.6018274,3.766818553,216.0848842,3.652271807,210.455759,2.241273761,214.7037058,4.71297729,215.9985328
32,40.36110163,201.3264799,16.63046598,212.5987047,3.767051324,216.0829804,3.65163365,210.4539742,2.243062377,214.7012305,4.715112388,215.996892
33,44.69714928,200.6603246,15.49945593,214.2128286,20.27800179,211.0003386,3.196163058,211.8333845,2.68027842,215.2923875,730.4020396,206.2250478
34,44.69714928,200.6603246,15.49945593,214.2128286,20.27800179,211.0003386,3.196163058,211.8333845,2.68027842,215.2923875,730.4020396,206.2250478
35,49.44259262,201.2003222,15.87710977,214.2604544,18.26157558,211.3141503,4.20982559,212.5459414,2.511992574,215.74471,724.7092347,207.3234396
36,49.44159985,201.1999145,15.87581849,214.2643278,18.26464415,211.3129166,4.211049706,212.5482512,2.511938095,215.7471719,724.7076308,207.3234477
37,53.11253738,201.6111178,16.22424603,214.8820188,18.87650537,212.1249922,4.124074459,213.015276,2.515227795,216.3705308,730.5416209,205.915306
38,53.11253738,201.6111178,16.22424603,214.8820188,18.87650537,212.1249922,4.124074459,213.015276,2.515227795,216.3705308,730.5416209,205.915306
39,56.97269249,202.7998605,16.8382206,215.2045808,19.97353077,213.7412623,4.368008226,212.8666754,2.440200567,216.8901825,731.5177653,206.3295054
40,56.9827342,202.7954016,16.84212875,215.2522175,19.94812393,213.7789335,4.282102883,212.9072514,2.469093084,216.9045975,731.6012169,206.2693772
41,60.43234825,203.5031867,19.44033813,214.942632,21.44678545,212.4666133,3.765760094,212.201025,1.717503786,217.0078068,729.8448265,206.9860723
42,60.43234825,203.5031867,19.44033813,214.942632,21.44678545,212.4666133,3.765760094,212.201025,1.717503786,217.0078068,729.8448265,206.9860723
43,64.02763796,203.6683898,19.49270439,214.8319898,4.793023288,213.024147,3.732256085,212.386445,1.991847277,216.798645,70.54450035,204.1341906
44,64.0335207,203.6952882,19.57392454,214.828805,4.73860091,213.006086,3.733785301,212.3804007,1.958445311,216.794523,70.55296469,204.1281486
45,66.42287302,204.0473089,18.40962839,214.8929689,5.612633586,216.3795352,4.389898658,212.6292028,-0.070337772,212.8058209,72.23958588,207.2027216
46,66.42287302,204.0473089,18.40962839,214.8929689,5.612633586,216.3795352,4.389898658,212.6292028,-0.070337772,212.8058209,72.23958588,207.2027216
47,67.93867509,204.5510054,18.76852989,215.3785918,16.98385549,212.3090572,5.015810728,213.2918262,0.076518059,213.2697448,729.045583,206.6554296
48,67.93787167,204.565299,18.74830532,215.3868816,16.94419026,212.3628969,5.015311956,213.2904234,0.094829321,213.2707342,728.9842038,206.6545832
49,70.09250498,204.6554699,18.5561862,215.1373785,16.81515002,212.3188697,10.61244285,213.7356759,0.665769339,213.2004542,0.372234821,207.7834361
50,70.09250498,204.6554699,18.5561862,215.1373785,16.81515002,212.3188697,10.61244285,213.7356759,0.665769339,213.2004542,0.372234821,207.7834361
51,72.64546633,203.7735443,17.42596173,215.1469266,16.88306141,210.9335738,7.459988117,212.3026553,2.547901154,203.4428463,730.8173828,206.3749042
52,72.65152407,203.7771025,17.42532253,215.1747317,16.79647803,210.8655958,7.382930279,212.3331893,2.61459136,203.4300542,730.8673881,206.3638401
53,75.41386747,202.8302593,16.56035614,214.8606482,14.77089477,207.9198022,6.009618759,211.9258527,3.039191961,201.0474024,729.9043045,207.2730784
54,75.41386747,202.8302593,16.56035614,214.8606482,14.77089477,207.9198022,6.009618759,211.9258527,3.039191961,201.0474024,729.9043045,207.2730784
55,77.39339733,202.2968946,17.73047781,214.9687142,21.71962178,209.2653637,9.531121731,212.0057023,3.984052354,212.264493,729.8755603,206.9200361
56,77.38463521,202.2916512,17.72982144,214.9755249,21.71451461,209.2658119,9.526108742,212.008509,3.983789394,212.2682218,729.8690858,206.956898
57,79.04481173,201.9645667,17.34318352,213.3377736,29.53830373,207.782366,12.9776091,214.2393064,4.785857022,212.7187816,-2.590319633,205.8980526
58,78.89548993,201.899169,17.54535294,213.4671443,29.74528813,207.9032402,13.02207208,214.2857208,4.722694874,212.5496059,-2.824034691,205.7079773
59,80.93119764,202.3026729,17.34696579,214.0500441,37.85170686,208.8630953,13.87876487,214.9960659,2.435059309,212.5469517,730.4369031,206.5619471
60,80.98256779,202.3650155,17.36984444,214.2341254,38.11997819,208.7947702,14.08103561,215.0951259,2.459448457,212.7327538,-1.595845222,206.8923593
61,83.5349741,202.6242146,13.32078445,213.8817025,44.0952732,211.218575,6.860908508,214.0462654,1.364059925,211.5070395,-1.891611099,206.7991717
62,83.61172819,202.6172695,13.22560692,213.7022552,44.27250642,211.4924154,6.285943508,213.9280014,1.622379541,211.5041461,-1.969151497,206.7390566
63,85.99783516,203.6641026,12.4901993,213.7115022,46.68027115,214.4841051,5.469640732,214.0435817,39.66952658,211.842741,-1.077538967,205.5954151
64,85.98172712,203.6632943,12.48866081,213.697389,46.73589563,214.2368517,5.485711575,214.0302455,39.68269014,211.8491983,-1.064819336,205.598706
65,88.46446943,204.2859535,11.82783991,213.8148444,46.80038357,214.4209013,4.452208519,213.4935901,35.93407515,211.6622142,96.66556072,205.7052755
66,88.46446943,204.2859535,11.82783991,213.8148444,46.80038357,214.4209013,4.452208519,213.4935901,35.9340751,211.6622142,96.66556072,205.7052755
67,91.09344578,204.8832941,12.31899521,214.4912579,47.67767096,214.7500732,5.673618793,213.8725368,1.231796265,210.7925086,100.3214045,205.7442837
68,91.08043766,204.9450083,12.27420574,214.4883058,47.66282368,214.736326,4.002379649,213.4336081,1.206531286,210.7799945,100.3353038,205.7419224
69,93.00956976,204.6756697,14.55990458,213.9025463,47.52215028,214.8822396,6.527407169,213.3738667,1.192593336,210.9666562,100.8045077,205.3694386
70,93.12540793,204.7438173,14.79207182,213.7866893,47.16195154,214.4662247,6.930261612,213.1348454,1.345094204,210.9734912,100.8227329,205.3531828
71,95.87493324,205.0179262,11.69339684,214.2944074,48.02210617,215.2510109,3.235538244,211.2458735,40.02549887,211.8567867,102.9436655,207.7030334
72,95.87854099,204.9755707,11.86706576,214.3814645,48.1369195,215.3958099,3.141315281,211.4227829,40.04870844,212.0564942,102.8545423,207.7441587
73,98.78440857,205.5702219,15.85995054,212.8573924,47.74977636,215.5411148,11.82259545,210.4109685,6.519777536,213.2023325,730.0568372,207.5984049
74,98.78440857,205.5702219,15.85995007,212.8573924,47.74977636,215.5411148,11.82259545,210.4109685,6.519777536,213.2023325,730.0568372,207.5984049
75,101.2711066,206.4016848,16.46223307,211.9240759,46.75825739,215.7616131,18.18629456,213.4849615,37.40700912,212.8698677,-4.103550911,206.7219696
76,101.2939898,206.3041716,16.44104624,211.9658557,46.73943853,215.7682247,18.15363216,213.5056682,37.41439295,212.8878372,-4.093153954,206.759064
77,103.9894068,205.7510204,17.71942568,212.033512,45.73639297,214.9643815,19.15680408,214.8272474,38.026124,212.3602486,-3.91530323,206.9889414
78,103.9894068,205.7510204,17.71942568,212.033512,45.73639297,214.9643815,19.15680408,214.8272474,38.026124,212.3602486,-3.91530323,206.9889414
79,106.6887164,205.5468349,19.0347414,212.2643331,46.70290542,215.8845949,20.39305973,215.2020159,38.98145342,212.3345037,115.6269178,205.2713757
80,106.693728,205.5470352,19.02602339,212.2604145,46.74300885,215.8954773,20.36711121,215.1868689,39.03256845,212.3484812,115.6280985,205.271852
81,109.2388215,204.9105692,18.81364489,211.1383421,45.11992705,215.291131,18.94990623,213.8250122,37.45331192,212.1427493,116.2138519,205.1412935
82,109.1825383,204.9377728,18.44476032,211.0493109,45.2618556,215.4993811,18.91026282,213.8000116,37.58446884,212.0826149,116.1530375,205.2312603
83,111.0060811,205.5587454,20.48202991,211.2172599,45.36744118,215.5412045,19.14573324,214.9466476,37.28492117,212.8155603,117.9372697,207.9468126
